Date,Action,Price,Amount_USD,Shares,Cash,Total_Value,Type
2025-05-19,GAP_BUY,14.32948394552992,15.0,15.290878467778485,62.5,281.61039751708097,Bearish Gap x3
2025-05-20,INTRADAY_BUY,14.389616127648257,5.0,15.638351253407073,57.5,282.52987140585475,Volatility Dip
2025-05-23,INTRADAY_SELL,13.81550826131262,5.0,15.276439124991109,62.5,273.551770934754,Volatility Spike
2025-05-27,GAP_SELL,13.974658258754907,10.0,14.56085812008638,72.5,275.98301618242357,Bullish Gap x1
2025-05-28,INTRADAY_BUY,14.108356993486778,5.0,14.91525799827973,67.5,277.9297844896894,Volatility Dip
2025-05-29,INTRADAY_BUY,14.090211778451215,5.0,15.270114268619592,62.5,277.65914392599973,Volatility Dip
2025-05-30,INTRADAY_BUY,14.1083585665226,5.0,15.624514107298515,57.5,277.93624745345824,Volatility Dip
2025-06-03,INTRADAY_SELL,14.23749546550798,10.0,14.922143383161943,67.5,279.9539487534281,Volatility Spike
2025-06-04,INTRADAY_BUY,14.153721085401706,5.0,15.275407374294074,62.5,278.70385544164674,Volatility Dip
2025-06-05,INTRADAY_BUY,14.099281977002823,5.0,15.630035362311865,57.5,277.8722758837605,Volatility Dip
2025-06-06,GAP_SELL,14.238502078867414,10.0,14.927714293381317,67.5,280.04829099904873,Bullish Gap x1
2025-06-09,INTRADAY_BUY,14.289813253720142,5.0,15.277613897471548,62.5,280.81424955730796,Volatility Dip
2025-06-10,INTRADAY_BUY,14.453128116499153,5.0,15.623559768821861,57.5,283.30931097456426,Volatility Dip
2025-06-11,INTRADAY_BUY,14.543857398678242,5.0,15.967347518037169,52.5,284.7268253374715,Volatility Dip
2025-06-16,GAP_SELL,14.320385733504665,10.0,15.269042305726895,62.5,281.1585755992106,Bullish Gap x1
2025-06-18,INTRADAY_SELL,14.347579106898598,10.0,14.572060611080458,72.5,281.57379236799795,Volatility Spike
2025-06-20,INTRADAY_BUY,14.407761349931297,5.0,14.919095787369232,67.5,282.45077166118125,Volatility Dip
2025-06-23,INTRADAY_BUY,14.349666327306442,5.0,15.267535945206584,62.5,281.5840464538717,Volatility Dip
2025-06-24,INTRADAY_BUY,14.541728165275472,5.0,15.611374032617654,57.5,284.5163574687663,Volatility Dip
2025-06-26,INTRADAY_SELL,14.361048620952893,5.0,15.26321004181374,62.5,281.6957015223036,Volatility Spike
2025-06-27,INTRADAY_BUY,14.450270563986457,5.0,15.609224324235635,57.5,283.0575147791636,Volatility Dip
2025-06-30,INTRADAY_BUY,14.404540288030667,5.0,15.95633710256947,52.5,282.3437006433604,Volatility Dip
2025-07-01,INTRADAY_BUY,14.35881356296271,5.0,16.304555287733255,47.5,281.61406960357965,Volatility Dip
2025-07-02,INTRADAY_BUY,14.614894341758692,5.0,16.646672027210027,42.5,285.7893528195845,Volatility Dip
2025-07-03,INTRADAY_BUY,14.724641364406436,5.0,16.98623887140403,37.5,287.61627551156425,Volatility Dip
2025-07-07,GAP_BUY,14.747175237440988,5.0,17.325286853101957,32.5,287.9990412616271,Bearish Gap x1
2025-07-08,INTRADAY_SELL,14.629220920382723,10.0,16.641723452533775,42.5,285.9554488830309,Volatility Spike
2025-07-10,INTRADAY_SELL,14.767929452715276,10.0,15.964580456149717,52.5,288.2637979186161,Volatility Spike
2025-07-11,INTRADAY_SELL,14.897392029129996,10.0,15.293322025113852,62.5,290.3306136358493,Volatility Spike
2025-07-14,INTRADAY_SELL,14.971370969987982,10.0,14.625380523961669,72.5,291.46199740146733,Volatility Spike
2025-07-15,INTRADAY_BUY,14.962432909553558,5.0,14.959550777571126,67.5,291.33127486646777,Volatility Dip
2025-07-16,INTRADAY_BUY,14.73378885682574,5.0,15.298906801238022,62.5,287.9108625496963,Volatility Dip
2025-07-17,INTRADAY_BUY,14.678913327604741,5.0,15.639531470681172,57.5,287.07132694247565,Volatility Dip
2025-07-22,INTRADAY_SELL,14.690518959615632,5.0,15.29917589755642,62.5,287.2528335895471,Volatility Spike
